energy,diameter,dfec_lynch,dfec_structure
22,2.33434343434,8012.70499093,2092.45536243
22,2.41414141414,8286.63611343,2133.76491016
22,2.49393939394,8560.56795581,2154.20356049
22,2.57373737374,8834.49779734,2158.7190966
22,2.65353535354,9108.42831213,2160.92093132
22,2.73333333333,9382.35709501,2151.51463733
22,2.81313131313,9656.28651142,2140.92430531
22,2.89292929293,9930.21439691,2144.36926883
22,2.97272727273,10204.1428949,2153.61164789
22,3.05252525253,10478.0700039,2168.6829338
22,3.13232323232,10751.9977409,2205.21542915
22,3.21212121212,11025.9241748,2263.48135098
22,3.29191919192,11299.8512025,2336.00247346
22,3.37171717172,11573.7797489,2427.9369471
22,3.45151515152,11845.6282988,2541.4025195
22,3.53131313131,12108.4368632,2662.01794078
22,3.61111111111,12359.0230891,2785.84460027
22,3.69090909091,12596.0427057,2917.77979477
22,3.77070707071,12818.9570672,3052.73382902
22,3.85050505051,13027.6882289,3184.30664375
22,3.9303030303,13222.4388569,3315.68416377
22,4.0101010101,13403.58736,3455.8146334
22,4.0898989899,13571.6208845,3600.51711232
22,4.1696969697,13727.09115,3728.17932837
22,4.24949494949,13870.5847222,3831.06083508
22,4.32929292929,14002.7023515,3931.80989298
22,4.40909090909,14124.0450966,4055.06729975
22,4.48888888889,14235.2044667,4201.78708629
22,4.56868686869,14336.7560924,4355.16824363
22,4.64848484848,14429.255273,4491.98043656
22,4.72828282828,14513.2344335,4594.90105052
22,4.80808080808,14589.2014895,4671.57549034
22,4.88787878788,14657.6392291,4748.46357524
22,4.96767676768,14719.005164,4842.3250006
22,5.04747474747,14773.7318678,4948.04449774
22,5.12727272727,14822.227598,5048.491323
22,5.20707070707,14864.8770764,5132.23405841
22,5.28686868687,14902.0424882,5204.69259339
22,5.36666666667,14934.0644279,5282.80214644
22,5.44646464646,14961.2630558,5380.87157283
22,5.52626262626,14983.9390635,5501.68790339
22,5.60606060606,15002.3748642,5639.70098786
22,5.68585858586,15016.8355056,5787.25483625
22,5.76565656566,15027.5698278,5930.06951465
22,5.84545454545,15034.8112907,6039.88717039
22,5.92525252525,15038.7790592,6083.34265875
22,6.00505050505,15039.6787264,6046.05170271
22,6.08484848485,15037.7033083,5949.61706442
22,6.16464646465,15033.0338832,5843.65927012
22,6.24444444444,15025.8405098,5780.09019957
22,6.32424242424,15016.2827836,5791.69700289
22,6.40404040404,15004.5106328,5885.69489489
22,6.48383838384,14990.664776,6047.45332924
22,6.56363636364,14974.8774516,6248.11934384
22,6.64343434343,14957.2728578,6454.85436753
22,6.72323232323,14937.9677802,6642.58602187
22,6.80303030303,14917.0719156,6801.21429564
